episode,total_reward
207,-1419.5695465803146
208,-1438.351379930973
209,-1436.1630121469498
210,-1423.7727341651917
211,-1431.7819571495056
212,-1415.545660853386
213,-1431.476371049881
214,-1418.4489196538925
215,-1428.4209525585175
216,-1458.13572204113
217,-1440.5623784661293
218,-1425.0212347507477
219,-1461.3790294528008
220,-1431.117725968361
221,-1394.6158653497696
222,-1427.9210245609283
223,-1433.4171122312546
224,-1404.421109855175
225,-1450.7306730747223
226,-1462.4289444088936
227,-1472.6979486644268
228,-1412.5460749864578
229,-1434.371898174286
230,-1428.505772948265
231,-1436.9740879535675
232,-1433.0149239301682
233,-1442.6736882328987
234,-1411.669180393219
235,-1434.8343914747238
236,-1455.2320403456688
237,-1428.2153165340424
238,-1434.231332540512
239,-1412.4628639221191
240,-1437.420776963234
241,-1442.8085463643074
242,-1447.155981361866
243,-1456.9688645005226
244,-1408.4226524829865
245,-1413.0381315350533
246,-1438.4681856632233
247,-1433.4127938747406
248,-1443.7572202086449
249,-1441.1065047979355
250,-1413.387412428856
251,-1405.4804927110672
252,-1412.7870320379734
253,-1427.1476246416569
254,-1420.2702379226685
255,-1437.114811718464
256,-1445.5679487586021
257,-1447.1569201350212
258,-1422.372562289238
259,-1453.558650314808
260,-1448.2868766784668
261,-1408.5055148601532
262,-1395.2106358408928
263,-1432.2598284482956
264,-1426.0054713487625
265,-1412.6181548833847
266,-1417.077506184578
267,-1430.5907970666885
268,-1445.864707827568
269,-1413.8446585536003
270,-1416.7924178242683
271,-1429.8336849212646
